sector,okved2,year,pAIusage_s
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2021.0,0.042704626334519574
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2022.0,0.06658385093167701
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2023.0,0.03128819359569787
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2024.0,0.026147015293537246
Выращивание однолетних культур,01.1,2021.0,0.04092409240924092
Выращивание однолетних культур,01.1,2022.0,0.06566347469220246
Выращивание однолетних культур,01.1,2023.0,0.03087586641461878
Выращивание однолетних культур,01.1,2024.0,0.02631578947368421
"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",01.11,2021.0,0.04129554655870445
"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",01.11,2022.0,0.060453400503778336
"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",01.11,2023.0,0.02980392156862745
"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",01.11,2024.0,0.02186234817813765
Выращивание зерновых культур,01.11.1,2021.0,0.043434343434343436
Выращивание зерновых культур,01.11.1,2022.0,0.05531914893617021
Выращивание зерновых культур,01.11.1,2023.0,0.02553626149131767
Выращивание зерновых культур,01.11.1,2024.0,0.0200845665961945
Выращивание пшеницы,01.11.11,2021.0,0.031578947368421054
Выращивание пшеницы,01.11.11,2022.0,0.012658227848101266
Выращивание пшеницы,01.11.11,2023.0,
Выращивание пшеницы,01.11.11,2024.0,
Выращивание ячменя,01.11.12,2023.0,
Выращивание кукурузы,01.11.14,2021.0,
Выращивание кукурузы,01.11.14,2022.0,
Выращивание кукурузы,01.11.14,2023.0,
Выращивание кукурузы,01.11.14,2024.0,
Выращивание овса,01.11.15,2023.0,
Выращивание овса,01.11.15,2024.0,
Выращивание прочих зерновых культур,01.11.19,2021.0,0.3333333333333333
Выращивание прочих зерновых культур,01.11.19,2022.0,
Выращивание прочих зерновых культур,01.11.19,2023.0,
Выращивание прочих зерновых культур,01.11.19,2024.0,
Выращивание зернобобовых культур,01.11.2,2021.0,0.07142857142857142
Выращивание зернобобовых культур,01.11.2,2022.0,0.06060606060606061
Выращивание зернобобовых культур,01.11.2,2023.0,0.034482758620689655
Выращивание зернобобовых культур,01.11.2,2024.0,0.043478260869565216
Выращивание семян масличных культур,01.11.3,2021.0,0.028037383177570093
Выращивание семян масличных культур,01.11.3,2022.0,0.09558823529411764
Выращивание семян масличных культур,01.11.3,2023.0,0.07453416149068323
Выращивание семян масличных культур,01.11.3,2024.0,0.032679738562091505
Выращивание семян подсолнечника,01.11.31,2021.0,
Выращивание семян подсолнечника,01.11.31,2023.0,
Выращивание семян подсолнечника,01.11.31,2024.0,
Выращивание семян соевых бобов,01.11.33,2021.0,0.2
Выращивание семян соевых бобов,01.11.33,2022.0,0.3333333333333333
Выращивание семян соевых бобов,01.11.33,2023.0,
Выращивание семян соевых бобов,01.11.33,2024.0,
Выращивание риса,01.12,2021.0,
Выращивание риса,01.12,2022.0,
Выращивание риса,01.12,2023.0,0.08333333333333333
Выращивание риса,01.12,2024.0,0.09090909090909091
"Выращивание овощей, бахчевых, корнеплодных и клубнеплодных культур, грибов и трюфелей",01.13,2021.0,0.04954954954954955
"Выращивание овощей, бахчевых, корнеплодных и клубнеплодных культур, грибов и трюфелей",01.13,2022.0,0.0963302752293578
"Выращивание овощей, бахчевых, корнеплодных и клубнеплодных культур, грибов и трюфелей",01.13,2023.0,0.04
"Выращивание овощей, бахчевых, корнеплодных и клубнеплодных культур, грибов и трюфелей",01.13,2024.0,0.044444444444444446
Выращивание овощей,01.13.1,2021.0,0.072992700729927
Выращивание овощей,01.13.1,2022.0,0.1
Выращивание овощей,01.13.1,2023.0,0.05517241379310345
Выращивание овощей,01.13.1,2024.0,0.0625
Выращивание овощей открытого грунта,01.13.11,2021.0,1.0
Выращивание овощей открытого грунта,01.13.11,2022.0,
Выращивание овощей открытого грунта,01.13.11,2023.0,
Выращивание овощей открытого грунта,01.13.11,2024.0,
Выращивание овощей защищенного грунта,01.13.12,2021.0,0.09090909090909091
Выращивание овощей защищенного грунта,01.13.12,2022.0,0.25
Выращивание овощей защищенного грунта,01.13.12,2023.0,
Выращивание овощей защищенного грунта,01.13.12,2024.0,
Выращивание столовых корнеплодных и клубнеплодных культур с высоким содержанием крахмала или инулина,01.13.3,2021.0,0.023255813953488372
Выращивание столовых корнеплодных и клубнеплодных культур с высоким содержанием крахмала или инулина,01.13.3,2022.0,0.027777777777777776
Выращивание столовых корнеплодных и клубнеплодных культур с высоким содержанием крахмала или инулина,01.13.3,2023.0,0.030303030303030304
Выращивание столовых корнеплодных и клубнеплодных культур с высоким содержанием крахмала или инулина,01.13.3,2024.0,0.022727272727272728
Выращивание картофеля,01.13.31,2021.0,
Выращивание картофеля,01.13.31,2022.0,
Выращивание картофеля,01.13.31,2023.0,
Выращивание картофеля,01.13.31,2024.0,0.3333333333333333
Выращивание прочих столовых корнеплодных и клубнеплодных культур с высоким содержанием крахмала или инулина,01.13.39,2024.0,
"Выращивание семян овощных культур, за исключением семян сахарной свеклы",01.13.4,2021.0,
"Выращивание семян овощных культур, за исключением семян сахарной свеклы",01.13.4,2022.0,
"Выращивание семян овощных культур, за исключением семян сахарной свеклы",01.13.4,2023.0,
"Выращивание семян овощных культур, за исключением семян сахарной свеклы",01.13.4,2024.0,
Выращивание сахарной свеклы и семян сахарной свеклы,01.13.5,2021.0,
Выращивание сахарной свеклы и семян сахарной свеклы,01.13.5,2022.0,0.08
Выращивание сахарной свеклы и семян сахарной свеклы,01.13.5,2023.0,0.02564102564102564
Выращивание сахарной свеклы и семян сахарной свеклы,01.13.5,2024.0,0.034482758620689655
Выращивание сахарной свеклы,01.13.51,2021.0,
Выращивание сахарной свеклы,01.13.51,2022.0,1.0
Выращивание сахарной свеклы,01.13.51,2023.0,
Выращивание сахарной свеклы,01.13.51,2024.0,
Выращивание семян сахарной свеклы,01.13.52,2023.0,
Выращивание грибов и трюфелей,01.13.6,2021.0,
Выращивание грибов и трюфелей,01.13.6,2022.0,0.25
Выращивание грибов и трюфелей,01.13.6,2023.0,
Выращивание грибов и трюфелей,01.13.6,2024.0,
"Выращивание овощей, не включенных в другие группировки",01.13.9,2022.0,
"Выращивание овощей, не включенных в другие группировки",01.13.9,2023.0,
"Выращивание овощей, не включенных в другие группировки",01.13.9,2024.0,
Выращивание волокнистых прядильных культур,01.16,2021.0,
Выращивание волокнистых прядильных культур,01.16,2022.0,
Выращивание волокнистых прядильных культур,01.16,2023.0,
Выращивание волокнистых прядильных культур,01.16,2024.0,
Выращивание льна,01.16.2,2021.0,
Выращивание льна,01.16.2,2022.0,
Выращивание льна,01.16.2,2023.0,
Выращивание обыкновенной конопли,01.16.3,2023.0,
Выращивание обыкновенной конопли,01.16.3,2024.0,
Выращивание прочих однолетних культур,01.19,2021.0,
Выращивание прочих однолетних культур,01.19,2022.0,0.08333333333333333
Выращивание прочих однолетних культур,01.19,2023.0,
Выращивание прочих однолетних культур,01.19,2024.0,0.02631578947368421
Выращивание однолетних кормовых культур,01.19.1,2021.0,
Выращивание однолетних кормовых культур,01.19.1,2022.0,
Выращивание однолетних кормовых культур,01.19.1,2023.0,
Выращивание однолетних кормовых культур,01.19.1,2024.0,
Цветоводство,01.19.2,2021.0,
Цветоводство,01.19.2,2022.0,0.13636363636363635
Цветоводство,01.19.2,2023.0,
Цветоводство,01.19.2,2024.0,
Выращивание цветов в открытом и защищенном грунте,01.19.21,2021.0,
Выращивание цветов в открытом и защищенном грунте,01.19.21,2022.0,
Выращивание цветов в открытом и защищенном грунте,01.19.21,2023.0,
Выращивание цветов в открытом и защищенном грунте,01.19.21,2024.0,
Выращивание семян свеклы (кроме семян сахарной свеклы) и семян кормовых культур,01.19.3,2023.0,
"Выращивание прочих однолетних культур, не включенных в другие группировки",01.19.9,2021.0,
"Выращивание прочих однолетних культур, не включенных в другие группировки",01.19.9,2022.0,
"Выращивание прочих однолетних культур, не включенных в другие группировки",01.19.9,2023.0,
"Выращивание прочих однолетних культур, не включенных в другие группировки",01.19.9,2024.0,
Выращивание многолетних культур,01.2,2021.0,0.06896551724137931
Выращивание многолетних культур,01.2,2022.0,0.12844036697247707
Выращивание многолетних культур,01.2,2023.0,0.0594059405940594
Выращивание многолетних культур,01.2,2024.0,0.05128205128205128
Выращивание винограда,01.21,2021.0,0.0851063829787234
Выращивание винограда,01.21,2022.0,0.175
Выращивание винограда,01.21,2023.0,
Выращивание винограда,01.21,2024.0,0.02040816326530612
Выращивание тропических и субтропических культур,01.22,2021.0,
Выращивание тропических и субтропических культур,01.22,2022.0,
Выращивание цитрусовых культур,01.23,2023.0,
Выращивание семечковых и косточковых культур,01.24,2021.0,0.027777777777777776
Выращивание семечковых и косточковых культур,01.24,2022.0,0.10810810810810811
Выращивание семечковых и косточковых культур,01.24,2023.0,0.1111111111111111
Выращивание семечковых и косточковых культур,01.24,2024.0,0.1111111111111111
"Выращивание прочих плодовых деревьев, кустарников и орехов",01.25,2021.0,0.04
"Выращивание прочих плодовых деревьев, кустарников и орехов",01.25,2022.0,0.08333333333333333
"Выращивание прочих плодовых деревьев, кустарников и орехов",01.25,2023.0,0.09090909090909091
"Выращивание прочих плодовых деревьев, кустарников и орехов",01.25,2024.0,0.043478260869565216
Выращивание прочих плодовых и ягодных культур,01.25.1,2021.0,0.045454545454545456
Выращивание прочих плодовых и ягодных культур,01.25.1,2022.0,0.09090909090909091
Выращивание прочих плодовых и ягодных культур,01.25.1,2023.0,0.1
Выращивание прочих плодовых и ягодных культур,01.25.1,2024.0,0.05
Выращивание семян плодовых и ягодных культур,01.25.2,2021.0,
Выращивание семян плодовых и ягодных культур,01.25.2,2022.0,
Выращивание семян плодовых и ягодных культур,01.25.2,2023.0,
Выращивание семян плодовых и ягодных культур,01.25.2,2024.0,
Выращивание орехоплодных культур,01.25.3,2021.0,
Выращивание орехоплодных культур,01.25.3,2023.0,
Выращивание плодов масличных культур,01.26,2021.0,
Выращивание плодов масличных культур,01.26,2022.0,
Выращивание плодов масличных культур,01.26,2024.0,
Выращивание культур для производства напитков,01.27,2021.0,
Выращивание культур для производства напитков,01.27,2022.0,
Выращивание культур для производства напитков,01.27,2023.0,
Выращивание чая,01.27.1,2021.0,
"Выращивание специй, пряно-ароматических, эфиромасличных и лекарственных культур",01.28,2021.0,
"Выращивание специй, пряно-ароматических, эфиромасличных и лекарственных культур",01.28,2022.0,
"Выращивание специй, пряно-ароматических, эфиромасличных и лекарственных культур",01.28,2023.0,
"Выращивание специй, пряно-ароматических, эфиромасличных и лекарственных культур",01.28,2024.0,
Выращивание хмеля,01.28.2,2024.0,
"Выращивание растений, используемых в основном в парфюмерии, фармации или в качестве инсектицидов, фунгицидов и для аналогичных целей",01.28.3,2023.0,
Выращивание прочих многолетних культур,01.29,2021.0,0.6666666666666666
Выращивание прочих многолетних культур,01.29,2022.0,0.2
Выращивание прочих многолетних культур,01.29,2023.0,
Выращивание прочих многолетних культур,01.29,2024.0,
Выращивание рассады,01.30,2021.0,
Выращивание рассады,01.30,2022.0,
Выращивание рассады,01.30,2023.0,
Выращивание рассады,01.30,2024.0,
Животноводство,01.4,2021.0,0.04623004953219593
Животноводство,01.4,2022.0,0.06783625730994151
Животноводство,01.4,2023.0,0.03564954682779456
Животноводство,01.4,2024.0,0.02736318407960199
"Разведение молочного крупного рогатого скота, производство сырого молока",01.41,2021.0,0.035326086956521736
"Разведение молочного крупного рогатого скота, производство сырого молока",01.41,2022.0,0.06869479882237488
"Разведение молочного крупного рогатого скота, производство сырого молока",01.41,2023.0,0.034482758620689655
"Разведение молочного крупного рогатого скота, производство сырого молока",01.41,2024.0,0.018027571580063628
Разведение молочного крупного рогатого скота,01.41.1,2021.0,0.04428904428904429
Разведение молочного крупного рогатого скота,01.41.1,2022.0,0.08157894736842106
Разведение молочного крупного рогатого скота,01.41.1,2023.0,0.04594594594594595
Разведение молочного крупного рогатого скота,01.41.1,2024.0,0.02359882005899705
"Разведение молочного крупного рогатого скота, кроме племенного",01.41.11,2021.0,0.04498269896193772
"Разведение молочного крупного рогатого скота, кроме племенного",01.41.11,2022.0,0.07630522088353414
"Разведение молочного крупного рогатого скота, кроме племенного",01.41.11,2023.0,0.038135593220338986
"Разведение молочного крупного рогатого скота, кроме племенного",01.41.11,2024.0,0.014285714285714285
Разведение племенного молочного крупного рогатого скота,01.41.12,2021.0,0.04477611940298507
Разведение племенного молочного крупного рогатого скота,01.41.12,2022.0,0.09375
Разведение племенного молочного крупного рогатого скота,01.41.12,2023.0,0.06201550387596899
Разведение племенного молочного крупного рогатого скота,01.41.12,2024.0,0.04065040650406504
"Производство сырого коровьего молока и сырого молока прочего крупного рогатого скота (буйволов, яков и др.)",01.41.2,2021.0,0.03304347826086956
"Производство сырого коровьего молока и сырого молока прочего крупного рогатого скота (буйволов, яков и др.)",01.41.2,2022.0,0.05575539568345324
"Производство сырого коровьего молока и сырого молока прочего крупного рогатого скота (буйволов, яков и др.)",01.41.2,2023.0,0.027237354085603113
"Производство сырого коровьего молока и сырого молока прочего крупного рогатого скота (буйволов, яков и др.)",01.41.2,2024.0,0.011834319526627219
Производство сырого коровьего молока,01.41.21,2021.0,0.033628318584070796
Производство сырого коровьего молока,01.41.21,2022.0,0.05615942028985507
Производство сырого коровьего молока,01.41.21,2023.0,0.027559055118110236
Производство сырого коровьего молока,01.41.21,2024.0,0.01002004008016032
"Производство сырого молока прочего крупного рогатого скота (буйволов, яков и др.)",01.41.29,2021.0,
"Производство сырого молока прочего крупного рогатого скота (буйволов, яков и др.)",01.41.29,2022.0,
"Производство сырого молока прочего крупного рогатого скота (буйволов, яков и др.)",01.41.29,2023.0,
"Производство сырого молока прочего крупного рогатого скота (буйволов, яков и др.)",01.41.29,2024.0,0.125
"Разведение прочих пород крупного рогатого скота и буйволов, производство спермы",01.42,2021.0,0.2676056338028169
"Разведение прочих пород крупного рогатого скота и буйволов, производство спермы",01.42,2022.0,0.08333333333333333
"Разведение прочих пород крупного рогатого скота и буйволов, производство спермы",01.42,2023.0,0.03636363636363636
