sector,okved2,year,pAIusage_s
"Разведение прочих пород крупного рогатого скота и буйволов, производство спермы",01.42,2024.0,0.05357142857142857
"Разведение мясного и прочего крупного рогатого скота, включая буйволов, яков и др.",01.42.1,2021.0,0.41304347826086957
"Разведение мясного и прочего крупного рогатого скота, включая буйволов, яков и др.",01.42.1,2022.0,0.12903225806451613
"Разведение мясного и прочего крупного рогатого скота, включая буйволов, яков и др.",01.42.1,2023.0,0.07692307692307693
"Разведение мясного и прочего крупного рогатого скота, включая буйволов, яков и др.",01.42.1,2024.0,0.07407407407407407
"Разведение мясного и прочего крупного рогатого скота, включая буйволов, яков и др., на мясо",01.42.11,2021.0,0.3103448275862069
"Разведение мясного и прочего крупного рогатого скота, включая буйволов, яков и др., на мясо",01.42.11,2022.0,0.1
"Разведение мясного и прочего крупного рогатого скота, включая буйволов, яков и др., на мясо",01.42.11,2023.0,0.05263157894736842
"Разведение мясного и прочего крупного рогатого скота, включая буйволов, яков и др., на мясо",01.42.11,2024.0,0.058823529411764705
"Разведение племенного мясного и прочего крупного рогатого скота, включая буйволов, яков и др.",01.42.12,2021.0,0.125
"Разведение племенного мясного и прочего крупного рогатого скота, включая буйволов, яков и др.",01.42.12,2022.0,
"Разведение племенного мясного и прочего крупного рогатого скота, включая буйволов, яков и др.",01.42.12,2023.0,
"Разведение племенного мясного и прочего крупного рогатого скота, включая буйволов, яков и др.",01.42.12,2024.0,
"Производство бычьей спермы, а также спермы буйволов, яков и др.",01.42.2,2021.0,
"Производство бычьей спермы, а также спермы буйволов, яков и др.",01.42.2,2022.0,0.037037037037037035
"Производство бычьей спермы, а также спермы буйволов, яков и др.",01.42.2,2023.0,
"Производство бычьей спермы, а также спермы буйволов, яков и др.",01.42.2,2024.0,0.03571428571428571
Разведение лошадей и прочих животных семейства лошадиных отряда непарнокопытных,01.43,2021.0,0.04
Разведение лошадей и прочих животных семейства лошадиных отряда непарнокопытных,01.43,2022.0,0.058823529411764705
Разведение лошадей и прочих животных семейства лошадиных отряда непарнокопытных,01.43,2023.0,0.05
Разведение лошадей и прочих животных семейства лошадиных отряда непарнокопытных,01.43,2024.0,
"Разведение лошадей, ослов, мулов, лошаков",01.43.1,2021.0,0.043478260869565216
"Разведение лошадей, ослов, мулов, лошаков",01.43.1,2022.0,0.06666666666666667
"Разведение лошадей, ослов, мулов, лошаков",01.43.1,2023.0,0.05555555555555555
"Разведение лошадей, ослов, мулов, лошаков",01.43.1,2024.0,
Разведение верблюдов и прочих животных семейства верблюжьих,01.44,2021.0,
Разведение верблюдов и прочих животных семейства верблюжьих,01.44,2023.0,
Разведение овец и коз,01.45,2021.0,0.05555555555555555
Разведение овец и коз,01.45,2023.0,0.07407407407407407
Разведение овец и коз,01.45,2024.0,0.037037037037037035
Разведение овец и коз,01.45.1,2021.0,0.030303030303030304
Разведение овец и коз,01.45.1,2022.0,0.043478260869565216
Разведение овец и коз,01.45.1,2023.0,0.09523809523809523
Разведение овец и коз,01.45.1,2024.0,
Производство сырого овечьего и козьего молока,01.45.2,2023.0,
Производство сырой (немытой) шерсти и волоса козы,01.45.3,2022.0,
Производство сырой (немытой) шерсти и волоса козы,01.45.3,2023.0,
Производство сырой (немытой) шерсти и волоса козы,01.45.3,2024.0,
Разведение племенных овец и коз,01.45.4,2021.0,
Разведение племенных овец и коз,01.45.4,2022.0,
Разведение племенных овец и коз,01.45.4,2023.0,
Разведение племенных овец и коз,01.45.4,2024.0,0.3333333333333333
Разведение свиней,01.46,2021.0,0.04854368932038835
Разведение свиней,01.46,2022.0,0.1111111111111111
Разведение свиней,01.46,2023.0,0.06770833333333333
Разведение свиней,01.46,2024.0,0.08376963350785341
Выращивание и разведение свиней,01.46.1,2021.0,0.05113636363636364
Выращивание и разведение свиней,01.46.1,2022.0,0.12209302325581395
Выращивание и разведение свиней,01.46.1,2023.0,0.0736196319018405
Выращивание и разведение свиней,01.46.1,2024.0,0.08823529411764706
Выращивание свиней на мясо,01.46.11,2021.0,0.046511627906976744
Выращивание свиней на мясо,01.46.11,2022.0,0.11834319526627218
Выращивание свиней на мясо,01.46.11,2023.0,0.075
Выращивание свиней на мясо,01.46.11,2024.0,0.08982035928143713
Разведение племенного поголовья свиней,01.46.12,2021.0,
Разведение племенного поголовья свиней,01.46.12,2022.0,
Разведение племенного поголовья свиней,01.46.12,2023.0,
Разведение племенного поголовья свиней,01.46.12,2024.0,
Разведение сельскохозяйственной птицы,01.47,2021.0,0.026845637583892617
Разведение сельскохозяйственной птицы,01.47,2022.0,0.04792332268370607
Разведение сельскохозяйственной птицы,01.47,2023.0,0.020134228187919462
Разведение сельскохозяйственной птицы,01.47,2024.0,0.023890784982935155
"Выращивание и разведение сельскохозяйственной птицы: кур, индеек, уток, гусей и цесарок",01.47.1,2021.0,0.043859649122807015
"Выращивание и разведение сельскохозяйственной птицы: кур, индеек, уток, гусей и цесарок",01.47.1,2022.0,0.02564102564102564
"Выращивание и разведение сельскохозяйственной птицы: кур, индеек, уток, гусей и цесарок",01.47.1,2023.0,0.017543859649122806
"Выращивание и разведение сельскохозяйственной птицы: кур, индеек, уток, гусей и цесарок",01.47.1,2024.0,
Выращивание сельскохозяйственной птицы на мясо,01.47.11,2021.0,0.034482758620689655
Выращивание сельскохозяйственной птицы на мясо,01.47.11,2022.0,0.03296703296703297
Выращивание сельскохозяйственной птицы на мясо,01.47.11,2023.0,0.022727272727272728
Выращивание сельскохозяйственной птицы на мясо,01.47.11,2024.0,
Разведение племенной сельскохозяйственной птицы,01.47.12,2021.0,0.047619047619047616
Разведение племенной сельскохозяйственной птицы,01.47.12,2022.0,
Разведение племенной сельскохозяйственной птицы,01.47.12,2023.0,
Разведение племенной сельскохозяйственной птицы,01.47.12,2024.0,
Производство яиц сельскохозяйственной птицы,01.47.2,2021.0,
Производство яиц сельскохозяйственной птицы,01.47.2,2022.0,0.06557377049180328
Производство яиц сельскохозяйственной птицы,01.47.2,2023.0,0.03305785123966942
Производство яиц сельскохозяйственной птицы,01.47.2,2024.0,0.04201680672268908
Деятельность инкубаторов для птицеводства,01.47.3,2021.0,
Деятельность инкубаторов для птицеводства,01.47.3,2022.0,
Деятельность инкубаторов для птицеводства,01.47.3,2023.0,
Деятельность инкубаторов для птицеводства,01.47.3,2024.0,
Разведение прочих животных,01.49,2021.0,0.06578947368421052
Разведение прочих животных,01.49,2022.0,0.014084507042253521
Разведение прочих животных,01.49,2023.0,0.013157894736842105
Разведение прочих животных,01.49,2024.0,
Пчеловодство,01.49.1,2021.0,
Пчеловодство,01.49.1,2022.0,
Пчеловодство,01.49.1,2024.0,
Пчеловодство медового направления,01.49.11,2021.0,
Пчеловодство медового направления,01.49.11,2022.0,
Пчеловодство медового направления,01.49.11,2024.0,
Пчеловодство опылительного направления,01.49.12,2021.0,
Разведение кроликов и прочих пушных зверей на фермах,01.49.2,2021.0,
Разведение кроликов и прочих пушных зверей на фермах,01.49.2,2022.0,0.08333333333333333
Разведение кроликов и прочих пушных зверей на фермах,01.49.2,2023.0,
Разведение кроликов и прочих пушных зверей на фермах,01.49.2,2024.0,
"Разведение кроликов, производство тонкого волоса кроликов на фермах",01.49.21,2021.0,
"Разведение кроликов, производство тонкого волоса кроликов на фермах",01.49.21,2022.0,
"Разведение кроликов, производство тонкого волоса кроликов на фермах",01.49.21,2023.0,
"Разведение кроликов, производство тонкого волоса кроликов на фермах",01.49.21,2024.0,
Разведение прочих пушных зверей на фермах,01.49.22,2021.0,
Разведение прочих пушных зверей на фермах,01.49.22,2022.0,0.1
Разведение прочих пушных зверей на фермах,01.49.22,2023.0,
Разведение прочих пушных зверей на фермах,01.49.22,2024.0,
Разведение шелкопряда,01.49.3,2021.0,
Разведение шелкопряда,01.49.3,2022.0,
Разведение шелкопряда,01.49.3,2024.0,
Разведение оленей,01.49.4,2021.0,0.06896551724137931
Разведение оленей,01.49.4,2022.0,
Разведение оленей,01.49.4,2023.0,0.017543859649122806
Разведение оленей,01.49.4,2024.0,
Разведение домашних северных оленей,01.49.41,2021.0,0.09090909090909091
Разведение домашних северных оленей,01.49.41,2022.0,
Разведение домашних северных оленей,01.49.41,2023.0,
Разведение домашних северных оленей,01.49.41,2024.0,
"Разведение благородных оленей (европейских, кавказских, маралов, изюбрей)",01.49.43,2021.0,
"Разведение благородных оленей (европейских, кавказских, маралов, изюбрей)",01.49.43,2022.0,
"Разведение благородных оленей (европейских, кавказских, маралов, изюбрей)",01.49.43,2023.0,
"Разведение благородных оленей (европейских, кавказских, маралов, изюбрей)",01.49.43,2024.0,
"Производство пантов северных оленей, пятнистых оленей, благородных оленей (европейских, кавказских, маралов, изюбрей), ланей",01.49.44,2021.0,
"Производство пантов северных оленей, пятнистых оленей, благородных оленей (европейских, кавказских, маралов, изюбрей), ланей",01.49.44,2022.0,
"Производство пантов северных оленей, пятнистых оленей, благородных оленей (европейских, кавказских, маралов, изюбрей), ланей",01.49.44,2023.0,
Разведение домашних животных,01.49.5,2021.0,
Разведение домашних животных,01.49.5,2022.0,
Разведение домашних животных,01.49.5,2023.0,
Разведение домашних животных,01.49.5,2024.0,
Разведение лабораторных животных,01.49.6,2021.0,
Разведение лабораторных животных,01.49.6,2022.0,
Разведение лабораторных животных,01.49.6,2023.0,
Разведение лабораторных животных,01.49.6,2024.0,
"Разведение прочих животных, не включенных в другие группировки",01.49.9,2021.0,0.3333333333333333
"Разведение прочих животных, не включенных в другие группировки",01.49.9,2022.0,
"Разведение прочих животных, не включенных в другие группировки",01.49.9,2023.0,
"Разведение прочих животных, не включенных в другие группировки",01.49.9,2024.0,
Смешанное сельское хозяйство,01.50,2021.0,0.045454545454545456
Смешанное сельское хозяйство,01.50,2022.0,0.08163265306122448
Смешанное сельское хозяйство,01.50,2023.0,0.052083333333333336
Смешанное сельское хозяйство,01.50,2024.0,0.025210084033613446
Деятельность вспомогательная в области производства сельскохозяйственных культур и послеуборочной обработки сельхозпродукции,01.6,2021.0,0.02952029520295203
Деятельность вспомогательная в области производства сельскохозяйственных культур и послеуборочной обработки сельхозпродукции,01.6,2022.0,0.0575139146567718
Деятельность вспомогательная в области производства сельскохозяйственных культур и послеуборочной обработки сельхозпродукции,01.6,2023.0,0.01509433962264151
Деятельность вспомогательная в области производства сельскохозяйственных культур и послеуборочной обработки сельхозпродукции,01.6,2024.0,0.017142857142857144
Предоставление услуг в области растениеводства,01.61,2021.0,0.03155818540433925
Предоставление услуг в области растениеводства,01.61,2022.0,0.05788423153692615
Предоставление услуг в области растениеводства,01.61,2023.0,0.014344262295081968
Предоставление услуг в области растениеводства,01.61,2024.0,0.01867219917012448
Предоставление услуг в области животноводства,01.62,2021.0,
Предоставление услуг в области животноводства,01.62,2022.0,0.07407407407407407
Предоставление услуг в области животноводства,01.62,2023.0,0.03333333333333333
Предоставление услуг в области животноводства,01.62,2024.0,
Деятельность сельскохозяйственная после сбора урожая,01.63,2021.0,
Деятельность сельскохозяйственная после сбора урожая,01.63,2022.0,
Деятельность сельскохозяйственная после сбора урожая,01.63,2023.0,
Деятельность сельскохозяйственная после сбора урожая,01.63,2024.0,
Обработка семян для посадки,01.64,2021.0,
Обработка семян для посадки,01.64,2022.0,
Обработка семян для посадки,01.64,2023.0,
Обработка семян для посадки,01.64,2024.0,
"Охота, отлов и отстрел диких животных, включая предоставление услуг в этих областях",01.70,2021.0,0.04807692307692308
"Охота, отлов и отстрел диких животных, включая предоставление услуг в этих областях",01.70,2022.0,0.030303030303030304
"Охота, отлов и отстрел диких животных, включая предоставление услуг в этих областях",01.70,2023.0,0.008620689655172414
"Охота, отлов и отстрел диких животных, включая предоставление услуг в этих областях",01.70,2024.0,0.025210084033613446
Лесоводство и лесозаготовки,02,2021.0,0.028358208955223882
Лесоводство и лесозаготовки,02,2022.0,0.06784888203546646
Лесоводство и лесозаготовки,02,2023.0,0.03515625
Лесоводство и лесозаготовки,02,2024.0,0.020642201834862386
Лесоводство и прочая лесохозяйственная деятельность,02.10,2021.0,0.028208744710860368
Лесоводство и прочая лесохозяйственная деятельность,02.10,2022.0,0.06934812760055478
Лесоводство и прочая лесохозяйственная деятельность,02.10,2023.0,0.024725274725274724
Лесоводство и прочая лесохозяйственная деятельность,02.10,2024.0,0.02785923753665689
Деятельность лесопитомников,02.10.1,2021.0,0.045454545454545456
Деятельность лесопитомников,02.10.1,2022.0,0.09090909090909091
Деятельность лесопитомников,02.10.1,2023.0,
Деятельность лесопитомников,02.10.1,2024.0,
"Выращивание посадочного материала лесных растений (саженцев, сеянцев)",02.10.11,2021.0,0.058823529411764705
"Выращивание посадочного материала лесных растений (саженцев, сеянцев)",02.10.11,2022.0,0.13333333333333333
"Выращивание посадочного материала лесных растений (саженцев, сеянцев)",02.10.11,2023.0,
"Выращивание посадочного материала лесных растений (саженцев, сеянцев)",02.10.11,2024.0,
Деятельность лесохозяйственная прочая,02.10.2,2021.0,
Деятельность лесохозяйственная прочая,02.10.2,2022.0,0.015625
Деятельность лесохозяйственная прочая,02.10.2,2023.0,0.029411764705882353
Деятельность лесохозяйственная прочая,02.10.2,2024.0,0.03125
Лесозаготовки,02.20,2021.0,0.04186046511627907
Лесозаготовки,02.20,2022.0,0.04477611940298507
Лесозаготовки,02.20,2023.0,0.016853932584269662
Лесозаготовки,02.20,2024.0,0.005681818181818182
"Сбор и заготовка пищевых лесных ресурсов, недревесных лесных ресурсов и лекарственных растений",02.30,2021.0,
"Сбор и заготовка пищевых лесных ресурсов, недревесных лесных ресурсов и лекарственных растений",02.30,2022.0,
"Сбор и заготовка пищевых лесных ресурсов, недревесных лесных ресурсов и лекарственных растений",02.30,2023.0,
"Сбор и заготовка пищевых лесных ресурсов, недревесных лесных ресурсов и лекарственных растений",02.30,2024.0,
Сбор и заготовка пищевых лесных ресурсов,02.30.1,2021.0,
Сбор и заготовка пищевых лесных ресурсов,02.30.1,2022.0,
Сбор и заготовка пищевых лесных ресурсов,02.30.1,2023.0,
Сбор и заготовка пищевых лесных ресурсов,02.30.1,2024.0,
Сбор и заготовка дикорастущих грибов,02.30.11,2023.0,
Сбор и заготовка дикорастущих грибов,02.30.11,2024.0,
"Сбор и заготовка дикорастущих плодов, ягод",02.30.12,2021.0,
"Сбор и заготовка дикорастущих плодов, ягод",02.30.12,2022.0,
"Сбор и заготовка дикорастущих плодов, ягод",02.30.12,2023.0,
"Сбор и заготовка дикорастущих плодов, ягод",02.30.12,2024.0,
Сбор и заготовка дикорастущих орехов,02.30.13,2021.0,
Сбор и заготовка дикорастущих орехов,02.30.13,2022.0,
