region,okato,year,skvozcosts_r
Центральный федеральный округ,030,2020,22242.803
Центральный федеральный округ,030,2021,14066.479
Центральный федеральный округ,030,2022,14291.87
Центральный федеральный округ,030,2023,13931.893
Центральный федеральный округ,030,2024,8670.973
Северо-Западный федеральный округ,031,2020,2565.2363
Северо-Западный федеральный округ,031,2021,1028.6772
Северо-Западный федеральный округ,031,2022,10154.34
Северо-Западный федеральный округ,031,2023,11072.548
Северо-Западный федеральный округ,031,2024,672.5098
Приволжский федеральный округ,033,2020,2981.2827
Приволжский федеральный округ,033,2021,2421.7612
Приволжский федеральный округ,033,2022,1451.0132
Приволжский федеральный округ,033,2023,5867.16
Приволжский федеральный округ,033,2024,3324.11
Уральский федеральный округ,034,2020,2452.8599
Уральский федеральный округ,034,2021,2244.4604
Уральский федеральный округ,034,2022,1466.783
Уральский федеральный округ,034,2023,1749.631
Уральский федеральный округ,034,2024,1027.5614
Северо-Кавказский федеральный округ,038,2020,49.20709
Северо-Кавказский федеральный округ,038,2021,101.6346
Северо-Кавказский федеральный округ,038,2022,173.9214
Северо-Кавказский федеральный округ,038,2023,126.7205
Северо-Кавказский федеральный округ,038,2024,185.1648
Южный федеральный округ,040,2020,1528.9486
Южный федеральный округ,040,2021,1898.4724
Южный федеральный округ,040,2022,543.1561
Южный федеральный округ,040,2023,611.218
Южный федеральный округ,040,2024,138.0713
Сибирский федеральный округ,041,2020,1277.9587
Сибирский федеральный округ,041,2021,582.74835
Сибирский федеральный округ,041,2022,734.5003
Сибирский федеральный округ,041,2023,739.8878
Сибирский федеральный округ,041,2024,1400.2073
Дальневосточный федеральный округ,042,2020,131.40419
Дальневосточный федеральный округ,042,2021,875.831
Дальневосточный федеральный округ,042,2022,475.97632
Дальневосточный федеральный округ,042,2023,772.3312
Дальневосточный федеральный округ,042,2024,792.93085
Алтайский край,1,2020,2.3139
Алтайский край,1,2021,8.390201
Алтайский край,1,2022,16.923801
Алтайский край,1,2023,11.8992
Алтайский край,1,2024,5.5129
Амурская область,10,2020,1.67575
Амурская область,10,2021,1.6914
Амурская область,10,2022,0.5265
Амурская область,10,2023,9.5526
Амурская область,10,2024,9.7476
Архангельская область,11,2020,10.743
Архангельская область,11,2021,4.9999
Архангельская область,11,2022,2.614
Архангельская область,11,2023,14.8849
Архангельская область,11,2024,6.7867002
Архангельская область (кроме Ненецкого автономного округа),11001,2020,10.6933
Архангельская область (кроме Ненецкого автономного округа),11001,2021,4.9502
Архангельская область (кроме Ненецкого автономного округа),11001,2022,
Архангельская область (кроме Ненецкого автономного округа),11001,2023,
Архангельская область (кроме Ненецкого автономного округа),11001,2024,6.7867002
Ненецкий автономный округ (Архангельская область),111,2020,0.0497
Ненецкий автономный округ (Архангельская область),111,2021,0.0497
Ненецкий автономный округ (Архангельская область),111,2022,
Ненецкий автономный округ (Архангельская область),111,2023,
Ненецкий автономный округ (Архангельская область),111,2024,
Астраханская область,12,2020,1.73798
Астраханская область,12,2021,3.5061002
Астраханская область,12,2022,3.0246
Астраханская область,12,2023,4.2622004
Астраханская область,12,2024,
Белгородская область,14,2020,147.90059
Белгородская область,14,2021,8.5685
Белгородская область,14,2022,7.3089
Белгородская область,14,2023,695.9641
Белгородская область,14,2024,344.09167
Брянская область,15,2020,2.9814
Брянская область,15,2021,4.5829
Брянская область,15,2022,5.1218
Брянская область,15,2023,4.2106
Брянская область,15,2024,5.7097
Владимирская область,17,2020,159.6654
Владимирская область,17,2021,136.56091
Владимирская область,17,2022,128.3076
Владимирская область,17,2023,151.27809
Владимирская область,17,2024,442.77267
Волгоградская область,18,2020,339.833
Волгоградская область,18,2021,22.9956
Волгоградская область,18,2022,15.2405
Волгоградская область,18,2023,3.5791001
Волгоградская область,18,2024,73.6393
Вологодская область,19,2020,23.1687
Вологодская область,19,2021,5.5062003
Вологодская область,19,2022,7.2959
Вологодская область,19,2023,15.3345995
Вологодская область,19,2024,
Воронежская область,20,2020,68.7785
Воронежская область,20,2021,90.1459
Воронежская область,20,2022,90.653
Воронежская область,20,2023,61.501698
Воронежская область,20,2024,27.500198
Нижегородская область,22,2020,1148.0809
Нижегородская область,22,2021,550.4239
Нижегородская область,22,2022,155.6105
Нижегородская область,22,2023,1969.31
Нижегородская область,22,2024,572.00616
Ивановская область,24,2020,14.73948
Ивановская область,24,2021,13.992901
Ивановская область,24,2022,89.5587
Ивановская область,24,2023,9.897201
Ивановская область,24,2024,2.3752
Иркутская область,25,2020,169.63495
Иркутская область,25,2021,55.2556
Иркутская область,25,2022,103.628296
Иркутская область,25,2023,229.1089
Иркутская область,25,2024,376.171
Республика Ингушетия,26,2020,0.042099997
Республика Ингушетия,26,2021,0.18
Республика Ингушетия,26,2022,150.56209
Республика Ингушетия,26,2023,0.213
Республика Ингушетия,26,2024,
Калининградская область,27,2020,12.6927
Калининградская область,27,2021,110.287605
Калининградская область,27,2022,14.8513
Калининградская область,27,2023,377.9076
Калининградская область,27,2024,1.666
Тверская область,28,2020,11.822901
Тверская область,28,2021,27.5589
Тверская область,28,2022,9.7807
Тверская область,28,2023,25.9568
Тверская область,28,2024,23.2714
Калужская область,29,2020,5.9841
Калужская область,29,2021,32.182
Калужская область,29,2022,6.0129
Калужская область,29,2023,7.0365
Калужская область,29,2024,38.6015
Краснодарский край,3,2020,1005.93616
Краснодарский край,3,2021,1620.7374
Краснодарский край,3,2022,426.258
Краснодарский край,3,2023,535.94586
Краснодарский край,3,2024,50.9
Камчатский край,30,2020,2.94282
Камчатский край,30,2021,32.309
Камчатский край,30,2022,12.8448
Камчатский край,30,2023,4.7035
Камчатский край,30,2024,5.0715
Кемеровская область - Кузбасс,32,2020,527.533
Кемеровская область - Кузбасс,32,2021,31.8593
Кемеровская область - Кузбасс,32,2022,72.2552
Кемеровская область - Кузбасс,32,2023,9.6622
Кемеровская область - Кузбасс,32,2024,88.495
Кировская область,33,2020,12.31862
Кировская область,33,2021,2.3138
Кировская область,33,2022,3.0141
Кировская область,33,2023,5.4129
Кировская область,33,2024,11.851
Костромская область,34,2020,5.2433
Костромская область,34,2021,2.9556
Костромская область,34,2022,28.1075
Костромская область,34,2023,55.4899
Костромская область,34,2024,57.790897
Самарская область,36,2020,325.9806
Самарская область,36,2021,920.44635
Самарская область,36,2022,82.589294
Самарская область,36,2023,37.1297
Самарская область,36,2024,88.6845
Курганская область,37,2020,0.75705
Курганская область,37,2021,1.637
Курганская область,37,2022,1.5363001
Курганская область,37,2023,31.3593
Курганская область,37,2024,1.0832
Курская область,38,2020,3.3075
Курская область,38,2021,8.4579
Курская область,38,2022,16.5682
Курская область,38,2023,13.7822
Курская область,38,2024,1.2909
Красноярский край,4,2020,68.7301
Красноярский край,4,2021,42.3371
Красноярский край,4,2022,108.7614
Красноярский край,4,2023,372.2357
Красноярский край,4,2024,596.6155
Город Санкт-Петербург город федерального значения,40,2020,2442.0525
Город Санкт-Петербург город федерального значения,40,2021,720.386
Город Санкт-Петербург город федерального значения,40,2022,9988.095
Город Санкт-Петербург город федерального значения,40,2023,10365.679
Город Санкт-Петербург город федерального значения,40,2024,536.9117
Ленинградская область,41,2020,41.034897
Ленинградская область,41,2021,80.447205
Ленинградская область,41,2022,26.8361
Ленинградская область,41,2023,81.609795
Ленинградская область,41,2024,32.3405
Липецкая область,42,2020,8.4305
Липецкая область,42,2021,3.7656999
Липецкая область,42,2022,4.695
Липецкая область,42,2023,21.4324
Липецкая область,42,2024,60.765697
Магаданская область,44,2020,0.3881
Магаданская область,44,2021,33.8252
Магаданская область,44,2022,
Магаданская область,44,2023,
Магаданская область,44,2024,10.5938
Город Москва столица Российской Федерации город федерального значения,45,2020,21474.373
Город Москва столица Российской Федерации город федерального значения,45,2021,13149.666
Город Москва столица Российской Федерации город федерального значения,45,2022,13120.891
Город Москва столица Российской Федерации город федерального значения,45,2023,12307.922
Город Москва столица Российской Федерации город федерального значения,45,2024,7246.975
Московская область,46,2020,284.67868
Московская область,46,2021,444.2724
Московская область,46,2022,720.0834
Московская область,46,2023,469.65808
Московская область,46,2024,361.86932
Мурманская область,47,2020,3.7618
Мурманская область,47,2021,6.8757
Мурманская область,47,2022,47.408
Мурманская область,47,2023,203.4863
Мурманская область,47,2024,80.2231
Новгородская область,49,2020,14.977309
Новгородская область,49,2021,2.4473
Новгородская область,49,2022,19.9621
Новгородская область,49,2023,
Новгородская область,49,2024,
Приморский край,5,2020,75.90097
Приморский край,5,2021,61.9594
Приморский край,5,2022,23.1267
Приморский край,5,2023,64.6392
Приморский край,5,2024,33.728603
Новосибирская область,50,2020,189.99458
Новосибирская область,50,2021,24.7666
Новосибирская область,50,2022,12.5141
Новосибирская область,50,2023,26.826199
Новосибирская область,50,2024,85.9735
Омская область,52,2020,6.1115
Омская область,52,2021,13.6325
Омская область,52,2022,2.885
Омская область,52,2023,9.7109
Омская область,52,2024,35.055603
Оренбургская область,53,2020,130.97685
Оренбургская область,53,2021,4.614
Оренбургская область,53,2022,15.3964
Оренбургская область,53,2023,4.4947004
Оренбургская область,53,2024,47.0168
Орловская область,54,2020,1.2827
Орловская область,54,2021,4.5651
Орловская область,54,2022,0.6779
Орловская область,54,2023,0.1016
Орловская область,54,2024,
Пензенская область,56,2020,30.511179
Пензенская область,56,2021,26.9974
Пензенская область,56,2022,27.8036
Пензенская область,56,2023,11.434099
Пензенская область,56,2024,9.541901
Пермский край,57,2020,66.6331
Пермский край,57,2021,84.54
Пермский край,57,2022,45.1235
Пермский край,57,2023,121.503105
Пермский край,57,2024,150.4005
Псковская область,58,2020,6.0647
Псковская область,58,2021,76.364
Псковская область,58,2022,4.3201003
Псковская область,58,2023,4.7901
Псковская область,58,2024,
Ростовская область,60,2020,105.8949
Ростовская область,60,2021,238.5681
Ростовская область,60,2022,65.031105
Ростовская область,60,2023,62.578197
Ростовская область,60,2024,8.6775
Рязанская область,61,2020,4.0725
Рязанская область,61,2021,5.6507998
Рязанская область,61,2022,5.6275
Рязанская область,61,2023,10.2493
Рязанская область,61,2024,19.9292
Саратовская область,63,2020,396.832
Саратовская область,63,2021,68.4417
Саратовская область,63,2022,405.5081
Саратовская область,63,2023,396.3336
Саратовская область,63,2024,665.97314
Сахалинская область,64,2020,4.82165
Сахалинская область,64,2021,265.5911
Сахалинская область,64,2022,7.0597
Сахалинская область,64,2023,14.793099
Сахалинская область,64,2024,224.7043
Российская Федерация,643,2020,33229.7
Российская Федерация,643,2021,23220.064
Российская Федерация,643,2022,29291.56
Российская Федерация,643,2023,34871.387
Российская Федерация,643,2024,16211.528
Свердловская область,65,2020,395.301
Свердловская область,65,2021,126.7586
Свердловская область,65,2022,103.5837
Свердловская область,65,2023,86.8249
Свердловская область,65,2024,135.9023
Смоленская область,66,2020,3.6303
Смоленская область,66,2021,2.9717
Смоленская область,66,2022,1.5983001
Смоленская область,66,2023,65.0628
Смоленская область,66,2024,0.70309997
Тамбовская область,68,2020,8.6131
Тамбовская область,68,2021,21.250801
Тамбовская область,68,2022,15.7996
Тамбовская область,68,2023,6.7377
Тамбовская область,68,2024,16.676802
Томская область,69,2020,291.5242
Томская область,69,2021,402.1611
Томская область,69,2022,398.12
Томская область,69,2023,68.6186
Томская область,69,2024,207.75821
Ставропольский край,7,2020,34.59609
Ставропольский край,7,2021,26.1994
Ставропольский край,7,2022,12.7346
Ставропольский край,7,2023,114.9306
Ставропольский край,7,2024,180.54541
Тульская область,70,2020,14.8332
Тульская область,70,2021,16.495
Тульская область,70,2022,19.597
Тульская область,70,2023,10.1682005
Тульская область,70,2024,8.5301
Тюменская область,71,2020,1467.9209
Тюменская область,71,2021,1682.8706
Тюменская область,71,2022,863.3072
Тюменская область,71,2023,1114.4988
Тюменская область,71,2024,456.9682
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),71001,2020,34.328808
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),71001,2021,5.8401003
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),71001,2022,44.002
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),71001,2023,77.9091
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),71001,2024,134.27429
Ханты-Мансийский автономный округ - Югра (Тюменская область),711,2020,7.3486
Ханты-Мансийский автономный округ - Югра (Тюменская область),711,2021,1012.094
Ханты-Мансийский автономный округ - Югра (Тюменская область),711,2022,312.38
Ханты-Мансийский автономный округ - Югра (Тюменская область),711,2023,527.3781
Ханты-Мансийский автономный округ - Югра (Тюменская область),711,2024,231.4617
Ямало-Ненецкий автономный округ (Тюменская область),7114,2020,1426.2435
Ямало-Ненецкий автономный округ (Тюменская область),7114,2021,664.9365
Ямало-Ненецкий автономный округ (Тюменская область),7114,2022,506.9252
Ямало-Ненецкий автономный округ (Тюменская область),7114,2023,509.2116
Ямало-Ненецкий автономный округ (Тюменская область),7114,2024,91.2322
Ульяновская область,73,2020,49.7821
Ульяновская область,73,2021,29.1435
Ульяновская область,73,2022,2.1545
Ульяновская область,73,2023,3.006
Ульяновская область,73,2024,502.6405
Челябинская область,75,2020,588.8808
Челябинская область,75,2021,433.19418
Челябинская область,75,2022,498.3558
Челябинская область,75,2023,516.948
Челябинская область,75,2024,433.6077
Забайкальский край,76,2020,3.7958999
Забайкальский край,76,2021,311.04242
Забайкальский край,76,2022,205.1712
Забайкальский край,76,2023,602.2237
Забайкальский край,76,2024,339.5729
Чукотский автономный округ,77,2020,0.5432
Чукотский автономный округ,77,2021,0.2437
Чукотский автономный округ,77,2022,
Чукотский автономный округ,77,2023,2.1853
Чукотский автономный округ,77,2024,
Ярославская область,78,2020,22.4648
Ярославская область,78,2021,92.8367
Ярославская область,78,2022,21.4807
Ярославская область,78,2023,15.4437
Ярославская область,78,2024,12.1192
Республика Адыгея (Адыгея),79,2020,0.13139999
Республика Адыгея (Адыгея),79,2021,1.0057
Республика Адыгея (Адыгея),79,2022,1.9334
Республика Адыгея (Адыгея),79,2023,
Республика Адыгея (Адыгея),79,2024,0.0625
Хабаровский край,8,2020,6.88302
Хабаровский край,8,2021,74.6647
Хабаровский край,8,2022,149.1248
Хабаровский край,8,2023,3.035
Хабаровский край,8,2024,19.798801
Республика Башкортостан,80,2020,85.069405
Республика Башкортостан,80,2021,151.17859
Республика Башкортостан,80,2022,109.1804
Республика Башкортостан,80,2023,139.1272
Республика Башкортостан,80,2024,123.1287
Республика Бурятия,81,2020,6.3202996
Республика Бурятия,81,2021,15.3818
Республика Бурятия,81,2022,3.636
Республика Бурятия,81,2023,22.4633
Республика Бурятия,81,2024,14.176701
Республика Дагестан,82,2020,0.896
Республика Дагестан,82,2021,56.426
Республика Дагестан,82,2022,1.8934001
Республика Дагестан,82,2023,5.0365
Республика Дагестан,82,2024,0.6558
Кабардино-Балкарская Республика,83,2020,1.4007
Кабардино-Балкарская Республика,83,2021,4.4972997
Кабардино-Балкарская Республика,83,2022,4.053
Кабардино-Балкарская Республика,83,2023,1.2568
Кабардино-Балкарская Республика,83,2024,0.124
Республика Алтай,84,2020,2.3776002
Республика Алтай,84,2021,2.5485
Республика Алтай,84,2022,4.6474
Республика Алтай,84,2023,5.5399
Республика Алтай,84,2024,3.2452
Республика Калмыкия,85,2020,0.124
Республика Калмыкия,85,2021,
Республика Калмыкия,85,2022,
Республика Калмыкия,85,2023,
Республика Калмыкия,85,2024,
Республика Карелия,86,2020,2.0364
Республика Карелия,86,2021,8.4965
Республика Карелия,86,2022,2.41
Республика Карелия,86,2023,7.3832
Республика Карелия,86,2024,
Республика Коми,87,2020,8.70428
Республика Коми,87,2021,12.866799
Республика Коми,87,2022,40.5471
Республика Коми,87,2023,1.4731
Республика Коми,87,2024,3.5857
Республика Марий Эл,88,2020,126.567955
Республика Марий Эл,88,2021,1.1339
Республика Марий Эл,88,2022,1.3339
Республика Марий Эл,88,2023,
Республика Марий Эл,88,2024,5.6936
Республика Мордовия,89,2020,4.6035
Республика Мордовия,89,2021,15.993
Республика Мордовия,89,2022,21.4328
Республика Мордовия,89,2023,10.661401
Республика Мордовия,89,2024,15.8317995
Республика Северная Осетия-Алания,90,2020,1.99
Республика Северная Осетия-Алания,90,2021,2.2368
Республика Северная Осетия-Алания,90,2022,0.0758
Республика Северная Осетия-Алания,90,2023,3.8586001
Республика Северная Осетия-Алания,90,2024,
Карачаево-Черкесская Республика,91,2020,9.2977
Карачаево-Черкесская Республика,91,2021,9.5335
Карачаево-Черкесская Республика,91,2022,3.2532
Карачаево-Черкесская Республика,91,2023,0.7635
Карачаево-Черкесская Республика,91,2024,0.6638
Республика Татарстан (Татарстан),92,2020,420.50336
Республика Татарстан (Татарстан),92,2021,430.3039
Республика Татарстан (Татарстан),92,2022,440.4249
Республика Татарстан (Татарстан),92,2023,1395.2646
Республика Татарстан (Татарстан),92,2024,116.71471
Республика Тыва,93,2020,2.8442
Республика Тыва,93,2021,0.4439
Республика Тыва,93,2022,0.53840005
Республика Тыва,93,2023,0.5886
Республика Тыва,93,2024,0.8346
Удмуртская Республика,94,2020,181.1475
Удмуртская Республика,94,2021,135.9759
Удмуртская Республика,94,2022,141.2169
Удмуртская Республика,94,2023,1723.0062
Удмуртская Республика,94,2024,1014.62683
Республика Хакасия,95,2020,16.8947
Республика Хакасия,95,2021,1.3536
Республика Хакасия,95,2022,14.2267
Республика Хакасия,95,2023,5.6976
Республика Хакасия,95,2024,0.5458
Чеченская Республика,96,2020,0.9845
Чеченская Республика,96,2021,2.5616002
Чеченская Республика,96,2022,1.3493
Чеченская Республика,96,2023,0.6615
Чеченская Республика,96,2024,0.19330001
Чувашская Республика - Чувашия,97,2020,2.27575
Чувашская Республика - Чувашия,97,2021,0.25530002
Чувашская Республика - Чувашия,97,2022,0.2242
Чувашская Республика - Чувашия,97,2023,
Чувашская Республика - Чувашия,97,2024,
Республика Саха (Якутия),98,2020,25.98687
Республика Саха (Якутия),98,2021,22.440802
Республика Саха (Якутия),98,2022,27.7033
Республика Саха (Якутия),98,2023,40.6215
Республика Саха (Якутия),98,2024,135.2141
Еврейская автономная область,99,2020,2.1456
Еврейская автономная область,99,2021,56.6815
Еврейская автономная область,99,2022,45.355198
Еврейская автономная область,99,2023,
Еврейская автономная область,99,2024,
